,Date,IN,OUT,Postgraduate,Undergraduate,Assistive-Tech,Library-Staff,Staff,Sconul,Default,BN,Other,Term_dates
0,2018-01-02,1807,1736,528,883,61,3,45,3,21,28,235,Christmas vacation 1
1,2018-01-03,2096,2107,580,955,96,1,64,13,21,37,329,Christmas vacation 1
2,2018-01-04,2914,2894,731,1474,123,3,78,30,47,101,327,Christmas vacation 1
3,2018-01-05,3199,3245,845,1630,147,1,74,17,53,123,309,Christmas vacation 1
4,2018-01-06,2700,2759,654,1484,134,0,11,6,38,110,263,Christmas vacation 1
5,2018-01-07,3222,3202,708,1929,142,1,17,6,30,137,252,Christmas vacation 1
6,2018-01-08,4755,4774,958,3018,257,2,80,11,90,23,316,Private study 1
7,2018-01-09,5610,5585,1144,3640,301,2,70,11,78,29,335,Private study 1
8,2018-01-10,6544,6563,1220,4382,334,1,100,14,112,42,339,Private study 1
9,2018-01-11,6314,6441,1224,4333,308,3,89,18,62,27,250,Mid-year assessment
10,2018-01-12,5081,5208,960,3470,320,1,59,21,62,34,154,Mid-year assessment
11,2018-01-13,4293,4335,737,2936,239,1,13,10,55,50,252,Mid-year assessment
12,2018-01-14,5242,5244,756,3776,313,1,20,12,36,69,259,Mid-year assessment
13,2018-01-15,5878,5933,927,4126,358,1,54,9,86,45,272,Mid-year assessment
14,2018-01-16,5904,6008,995,4052,409,1,61,11,80,28,267,Mid-year assessment
15,2018-01-17,5665,5713,948,3853,358,1,102,10,61,44,288,Mid-year assessment
16,2018-01-18,5161,5347,752,3670,326,1,59,7,60,37,249,Mid-year assessment
17,2018-01-19,4103,4269,631,2851,210,1,53,2,84,21,250,Mid-year assessment
18,2018-01-20,2456,2626,359,1669,177,1,17,3,42,15,173,Mid-year assessment
19,2018-01-21,2933,2937,354,2107,188,0,10,10,21,37,206,Mid-year assessment
20,2018-01-22,3949,3977,647,2665,218,1,66,20,86,27,219,Mid-year assessment
21,2018-01-23,3236,3285,659,2088,144,2,73,8,66,14,182,Mid-year assessment
22,2018-01-24,2847,2885,602,1765,142,1,82,3,38,9,205,Winter graduation
23,2018-01-25,2284,2326,538,1318,126,2,54,8,46,7,185,Winter graduation
24,2018-01-26,967,1032,372,337,59,2,62,9,27,9,90,Winter graduation
25,2018-01-27,432,483,120,128,30,0,20,8,20,9,97,Inter-session week
26,2018-01-28,469,465,129,145,36,1,10,4,27,0,117,Inter-session week
27,2018-01-29,1005,992,316,414,55,3,49,7,43,34,84,Inter-session week
28,2018-01-30,1016,1015,331,398,61,1,66,5,32,6,116,Inter-session week
29,2018-01-31,990,1013,362,372,62,2,73,5,34,11,69,Inter-session week
30,2018-02-01,1068,1071,348,440,54,2,63,29,36,10,86,Inter-session week
31,2018-02-02,1055,1124,337,432,39,2,51,3,85,9,97,Inter-session week
32,2018-02-03,473,529,133,182,21,1,14,3,19,19,81,Inter-session week
33,2018-02-04,625,628,148,280,39,1,2,3,26,9,117,Inter-session week
34,2018-02-05,4467,4488,870,2889,293,1,78,22,79,44,191,Spring term
35,2018-02-06,4585,4626,882,3004,293,1,98,6,43,15,243,Spring term
36,2018-02-07,3220,3304,878,1832,196,3,66,22,42,23,158,Spring term
37,2018-02-08,4039,4056,854,2566,258,4,95,18,38,23,183,Spring term
38,2018-02-09,2815,2904,612,1798,187,1,59,5,41,10,102,Spring term
39,2018-02-10,655,741,161,328,24,0,4,1,15,7,115,Spring term
40,2018-02-11,1115,1102,243,604,63,1,20,0,20,24,140,Spring term
41,2018-02-12,5126,5086,1073,3346,301,1,66,8,78,34,219,Spring term
42,2018-02-13,4828,4901,1022,3149,276,2,66,14,54,14,231,Spring term
43,2018-02-14,2901,3006,836,1622,186,2,54,9,48,9,135,Spring term
44,2018-02-15,4134,4288,818,2703,249,1,72,9,62,7,213,Spring term
45,2018-02-16,2881,2930,645,1753,163,2,66,11,58,12,171,Spring term
46,2018-02-17,834,898,222,431,32,2,6,4,20,14,103,Spring term
47,2018-02-18,1205,1218,276,679,68,1,12,4,23,8,134,Spring term
48,2018-02-19,5291,5219,991,3581,302,3,73,14,81,49,197,Spring term
49,2018-02-20,5326,5342,951,3655,308,3,67,16,94,20,212,Spring term
50,2018-02-21,3875,4002,920,2338,213,3,95,9,94,17,186,Spring term
51,2018-02-22,3168,3267,612,2147,162,3,49,19,45,6,125,Spring term
52,2018-02-23,2270,2293,467,1413,146,2,32,10,86,2,112,Spring term
53,2018-02-24,935,975,214,473,71,1,13,6,55,9,93,Spring term
54,2018-02-25,884,913,174,501,38,1,18,4,48,8,92,Spring term
55,2018-02-26,3552,3501,651,2339,238,2,71,6,54,25,166,Spring term
56,2018-02-27,3027,3088,605,2034,179,2,36,3,49,11,108,Spring term
57,2018-02-28,2972,2990,599,1952,170,2,36,4,65,3,141,Spring term
58,2018-03-01,4260,4333,700,2917,284,2,67,4,76,18,192,Spring term
59,2018-03-02,2880,2922,574,1871,163,2,75,5,79,9,102,Spring term
60,2018-03-03,1191,1265,315,635,47,2,14,4,62,14,98,Spring term
61,2018-03-04,1453,1446,277,873,69,1,6,6,73,10,138,Spring term
62,2018-03-05,4477,4450,747,3085,232,2,68,4,168,17,154,Spring term
63,2018-03-06,4764,4842,761,3319,289,2,82,12,108,10,181,Spring term
64,2018-03-07,3559,3624,662,2381,193,1,48,12,110,9,143,Spring term
65,2018-03-08,4354,4360,758,2975,255,1,48,4,149,15,149,Spring term
66,2018-03-09,3556,3628,701,2474,54,2,76,4,145,1,99,Spring term
67,2018-03-10,1374,1448,211,830,0,1,17,10,139,1,165,Spring term
68,2018-03-11,1609,1620,288,1020,9,1,8,5,133,4,141,Spring term
69,2018-03-12,4585,4825,693,3301,44,1,120,5,50,147,224,Spring term
70,2018-03-13,5539,5554,746,3907,310,1,151,10,100,47,267,Spring term
71,2018-03-14,3583,3752,734,2336,141,5,107,2,91,16,151,Spring term
72,2018-03-15,8,109,0,0,0,1,7,0,0,0,0,Spring term
73,2018-03-16,3425,3339,663,2277,198,0,101,4,19,8,155,Spring term
74,2018-03-17,1146,1243,170,700,55,2,13,0,30,17,159,Spring term
75,2018-03-18,1856,1837,287,1195,78,1,18,4,25,23,225,Spring term
76,2018-03-19,6153,6082,999,4281,411,1,125,8,41,26,261,Spring term
77,2018-03-20,6121,6175,970,4370,388,3,97,4,37,24,228,Spring term
78,2018-03-21,4351,4470,875,2913,252,3,71,5,32,26,174,Spring term
79,2018-03-22,4590,4648,835,3155,314,2,78,5,35,10,156,Spring term
80,2018-03-23,2975,3103,594,1921,207,1,65,8,22,14,143,Spring term
81,2018-03-24,718,819,195,283,50,1,4,1,24,13,147,Easter teaching break
82,2018-03-25,824,822,174,391,50,1,10,5,31,6,156,Easter teaching break
83,2018-03-26,1774,1756,449,912,97,2,87,9,18,21,179,Easter teaching break
84,2018-03-27,1757,1790,421,855,98,1,104,15,11,16,236,Easter teaching break
85,2018-03-28,1537,1573,409,754,113,2,54,6,7,6,186,Easter teaching break
86,2018-03-29,1293,1338,406,591,70,1,29,15,12,2,167,Easter teaching break
87,2018-03-30,1,42,0,0,0,0,1,0,0,0,0,Easter teaching break
88,2018-03-31,3,2,3,0,0,0,0,0,0,0,0,Easter teaching break
89,2018-04-01,0,1,0,0,0,0,0,0,0,0,0,Easter teaching break
90,2018-04-02,1,1,0,0,0,0,1,0,0,0,0,Easter teaching break
91,2018-04-03,2014,1959,545,811,87,1,38,19,16,6,491,Easter teaching break
92,2018-04-04,2050,2070,497,897,78,3,63,18,26,10,458,Easter teaching break
93,2018-04-05,2305,2337,525,1053,100,3,59,11,17,10,527,Easter teaching break
94,2018-04-06,2138,2133,521,988,86,2,63,16,18,16,428,Easter teaching break
95,2018-04-07,1624,1691,360,839,64,1,13,11,16,29,291,Easter teaching break
96,2018-04-08,1889,1882,347,1130,66,0,16,6,21,17,286,Easter teaching break
97,2018-04-09,6691,6716,1006,4436,405,2,94,26,63,39,620,Spring term
98,2018-04-10,7416,7488,1166,4896,425,1,91,18,70,35,714,Spring term
99,2018-04-11,6511,6630,1013,4352,393,0,84,26,59,35,549,Spring term
100,2018-04-12,6844,6965,1133,4558,392,1,79,11,53,28,589,Spring term
101,2018-04-13,4623,5013,692,3057,255,1,57,28,42,37,454,Spring term
102,2018-04-14,2320,2388,412,1342,107,1,8,9,30,50,361,Spring term
103,2018-04-15,2820,2817,400,1851,144,0,13,15,26,53,318,Spring term
104,2018-04-16,7658,7715,1146,5433,423,1,71,8,96,30,450,Spring term
105,2018-04-17,7294,7533,1189,5051,480,1,87,16,102,30,338,Spring term
106,2018-04-18,5623,5777,1050,3693,386,1,80,8,67,50,288,Spring term
107,2018-04-19,5935,6014,1024,3956,395,3,101,12,104,68,272,Spring term
108,2018-04-20,4102,4257,931,2471,287,2,89,13,63,38,208,Spring term
109,2018-04-21,2324,2347,446,1267,141,1,11,14,47,51,346,Spring term
110,2018-04-22,3415,3394,528,2111,235,1,13,22,59,57,389,Spring term
111,2018-04-23,7995,7914,1172,5639,533,1,98,17,97,96,342,Spring term
112,2018-04-24,7956,8114,1233,5664,509,3,82,13,73,46,333,Spring term
113,2018-04-25,6881,6992,1203,4709,433,1,76,7,92,34,326,Spring term
114,2018-04-26,6856,6939,1184,4710,448,1,85,11,89,44,284,Spring term
115,2018-04-27,5023,5150,862,3398,353,2,64,6,73,21,244,Spring term
116,2018-04-28,3363,3444,631,2000,187,2,22,3,45,43,430,Spring term
117,2018-04-29,3558,3585,548,2300,189,1,36,11,44,50,379,Spring term
118,2018-04-30,7434,7345,1071,5411,464,3,68,9,84,38,286,Spring term
119,2018-05-01,8729,8755,1433,6161,557,2,104,10,80,69,313,Spring term
120,2018-05-02,7143,7237,1231,4916,479,1,61,10,106,43,296,Spring term
121,2018-05-03,7717,7889,1299,5393,497,2,98,15,82,38,293,Spring term
122,2018-05-04,6129,6249,1235,3962,444,2,92,10,72,47,265,Spring term
123,2018-05-05,3266,3391,721,1894,191,1,21,5,22,64,347,Spring term
124,2018-05-06,3451,3463,623,2186,167,1,29,2,55,92,296,Spring term
125,2018-05-07,6330,6309,1194,4206,387,0,23,3,65,108,344,Spring term
126,2018-05-08,8962,8925,1580,6253,522,1,85,6,80,145,290,Spring term
127,2018-05-09,8554,8545,1448,5862,533,1,79,10,115,136,370,Spring term
128,2018-05-10,8981,9137,1390,6341,593,1,80,8,127,94,347,Spring term
129,2018-05-11,6779,7123,1304,4451,480,1,68,6,108,76,285,Spring term
130,2018-05-12,4378,4495,897,2640,248,1,45,6,44,102,395,Spring term
131,2018-05-13,5293,5308,968,3454,280,0,41,5,76,95,374,Spring term
132,2018-05-14,8235,8183,1434,5612,469,2,81,20,134,151,332,Private study 2
133,2018-05-15,8328,8425,1492,5733,521,2,65,10,119,98,288,Private study 2
134,2018-05-16,8041,8033,1456,5586,453,3,85,11,106,65,276,Private study 2
135,2018-05-17,7409,7634,1409,5104,471,1,57,5,96,56,210,Year-end assessment
136,2018-05-18,5820,6011,1101,3963,387,2,65,9,45,70,178,Year-end assessment
137,2018-05-19,4360,4394,729,2879,273,1,11,15,48,133,271,Year-end assessment
138,2018-05-20,5370,5346,861,3510,339,0,17,16,50,182,395,Year-end assessment
139,2018-05-21,7409,7413,1340,4952,498,1,90,10,74,132,312,Year-end assessment
140,2018-05-22,7588,7655,1386,5110,478,2,103,15,88,124,282,Year-end assessment
141,2018-05-23,7320,7415,1271,4979,469,1,65,16,108,88,323,Year-end assessment
142,2018-05-24,6200,6348,954,4272,486,1,85,15,60,91,236,Year-end assessment
143,2018-05-25,5209,5361,882,3602,327,2,65,12,59,62,198,Year-end assessment
144,2018-05-26,4130,4252,796,2618,245,2,15,7,44,86,317,Year-end assessment
145,2018-05-27,4522,4445,810,2904,320,0,10,7,41,106,324,Year-end assessment
146,2018-05-28,6119,6168,933,4099,337,0,39,16,72,151,472,Year-end assessment
147,2018-05-29,6145,6242,1135,3984,382,1,86,22,63,78,394,Year-end assessment
148,2018-05-30,5652,5720,934,3644,418,1,83,14,79,92,387,Year-end assessment
149,2018-05-31,4868,4955,553,3331,366,2,73,14,51,87,391,Year-end assessment
150,2018-06-01,3990,4653,505,2666,267,1,76,6,30,53,386,Year-end assessment
151,2018-06-02,3207,3303,388,1978,190,2,11,4,32,45,557,Year-end assessment
152,2018-06-03,3645,3604,441,2288,205,0,27,11,55,81,537,Year-end assessment
153,2018-06-04,4979,4991,784,3347,297,2,88,6,50,57,348,Year-end assessment
154,2018-06-05,4630,4686,696,3197,266,4,70,16,61,41,279,Year-end assessment
155,2018-06-06,4487,4553,635,3024,287,2,97,12,73,20,337,Year-end assessment
156,2018-06-07,3761,3814,449,2658,201,1,79,5,68,21,279,Year-end assessment
157,2018-06-08,2748,2815,372,1809,131,1,67,6,102,2,258,Year-end assessment
158,2018-06-09,1783,2000,146,1053,64,1,14,0,62,10,433,Year-end assessment
159,2018-06-10,2722,2771,199,1658,105,0,26,7,129,15,583,Year-end assessment
160,2018-06-11,3319,3353,478,2259,155,1,44,16,108,9,249,Year-end assessment
161,2018-06-12,3295,3317,513,2093,155,1,76,2,98,47,310,Year-end assessment
162,2018-06-13,3073,3121,513,1839,118,1,86,9,117,5,385,Year-end assessment
163,2018-06-14,2232,2292,404,1232,112,1,66,8,118,7,284,Year-end assessment
164,2018-06-15,1102,1188,299,408,55,4,62,10,109,3,152,Year-end assessment
165,2018-06-16,353,394,70,49,10,3,7,2,57,2,153,Summer vacation
166,2018-06-17,353,359,102,34,6,1,14,1,47,0,148,Summer vacation
167,2018-06-18,733,732,312,62,34,1,74,17,69,29,135,Summer vacation
168,2018-06-19,846,838,394,102,24,4,91,3,99,2,127,Summer vacation
169,2018-06-20,828,834,404,95,35,3,109,9,46,8,119,Summer vacation
170,2018-06-21,739,775,390,85,21,3,72,8,5,0,155,Summer vacation
171,2018-06-22,635,646,338,102,27,4,84,4,23,2,51,Summer vacation
172,2018-06-23,238,276,106,38,10,3,18,1,8,3,51,Summer vacation
173,2018-06-24,163,202,67,29,3,3,13,0,3,1,44,Summer vacation
174,2018-06-25,859,849,413,209,25,7,80,3,16,9,97,Summer vacation
175,2018-06-26,1052,1128,426,356,17,5,108,3,12,5,120,Summer vacation
176,2018-06-27,1038,1052,459,326,22,5,90,7,10,9,110,Summer vacation
177,2018-06-28,906,951,353,358,14,6,87,7,7,1,73,Summer vacation
178,2018-06-29,814,867,399,240,17,4,60,7,32,5,50,Summer vacation
179,2018-06-30,290,323,98,139,4,3,7,4,7,5,23,Summer vacation
180,2018-07-01,410,483,109,230,12,3,13,1,6,0,36,Summer vacation
181,2018-07-02,900,891,382,325,25,8,77,5,1,5,72,Summer vacation
182,2018-07-03,1025,1051,411,396,22,6,88,9,22,5,66,Summer vacation
183,2018-07-04,1012,1046,393,388,29,5,77,6,5,0,109,Summer vacation
184,2018-07-05,985,1005,407,394,20,5,76,4,14,5,60,Summer vacation
185,2018-07-06,582,623,290,142,14,5,60,7,2,0,62,Summer vacation
186,2018-07-07,187,213,80,66,10,3,4,2,1,0,21,Summer vacation
187,2018-07-08,329,327,98,175,4,3,5,1,4,3,36,Summer vacation
188,2018-07-09,1065,1071,476,356,22,4,82,10,0,14,101,Summer vacation
189,2018-07-10,1048,1064,444,393,29,3,86,0,3,3,87,Summer vacation
190,2018-07-11,880,1024,351,301,23,4,99,5,3,4,90,Summer vacation
191,2018-07-12,800,838,325,285,29,3,59,4,3,2,90,Summer vacation
192,2018-07-13,798,788,415,211,27,1,63,11,2,1,67,Summer vacation
193,2018-07-14,267,312,106,92,9,2,20,5,5,0,28,Summer vacation
194,2018-07-15,332,323,101,172,7,3,6,2,0,0,41,Summer vacation
195,2018-07-16,1056,1073,506,330,30,4,74,7,5,7,93,Summer vacation
196,2018-07-17,1126,1165,524,380,20,5,86,4,3,1,103,Summer vacation
197,2018-07-18,1178,1181,519,429,17,6,73,6,1,15,112,Summer vacation
198,2018-07-19,1029,1091,529,300,21,6,68,7,2,4,92,Summer vacation
199,2018-07-20,852,892,453,218,11,7,78,6,2,6,71,Summer vacation
200,2018-07-21,363,389,172,128,15,5,4,4,7,0,28,Summer vacation
201,2018-07-22,481,490,187,223,5,2,2,7,6,6,43,Summer vacation
202,2018-07-23,1460,1458,607,615,27,8,98,3,3,12,87,Summer graduation
203,2018-07-24,1309,1325,578,444,32,9,133,4,3,4,102,Summer graduation
204,2018-07-25,1253,1280,561,398,31,8,134,6,9,6,100,Summer graduation
205,2018-07-26,1181,1234,525,450,25,6,70,15,9,5,76,Summer graduation
206,2018-07-27,908,938,473,233,37,7,48,9,8,3,90,Summer graduation
207,2018-07-28,332,361,185,61,9,2,6,8,4,5,52,Summer vacation
208,2018-07-29,222,226,111,37,11,4,2,3,3,2,49,Summer vacation
209,2018-07-30,1196,1189,634,350,42,12,42,10,4,9,93,Summer vacation
210,2018-07-31,1370,1377,702,374,24,6,102,11,11,11,129,Summer vacation
211,2018-08-01,1349,1574,661,396,38,9,95,10,9,13,118,Summer vacation
212,2018-08-02,1261,1285,586,448,23,5,89,14,5,5,86,Summer vacation
213,2018-08-03,1174,1205,624,305,24,8,64,19,8,14,108,Summer vacation
214,2018-08-04,267,286,102,128,2,4,2,2,6,0,21,Summer vacation
215,2018-08-05,524,522,187,259,7,1,4,2,4,9,51,Summer vacation
216,2018-08-06,1844,1880,741,823,23,6,79,4,6,22,140,Summer vacation
217,2018-08-07,1816,1887,716,805,43,8,96,6,10,23,109,Summer vacation
218,2018-08-08,1317,1344,722,332,36,9,70,10,4,21,113,Summer vacation
219,2018-08-09,1359,1365,625,450,37,14,95,8,9,20,101,Summer vacation
220,2018-08-10,984,997,603,185,23,5,71,9,1,17,70,Summer vacation
221,2018-08-11,425,466,269,76,16,3,5,5,3,7,41,Summer vacation
222,2018-08-12,485,487,254,126,19,6,1,1,1,17,60,Summer vacation
223,2018-08-13,1721,1690,724,679,58,6,108,11,5,32,98,Summer vacation
224,2018-08-14,1740,1746,750,665,77,9,122,9,5,21,82,Summer vacation
225,2018-08-15,1538,1578,706,510,57,4,96,4,10,36,115,Summer vacation
226,2018-08-16,1372,1377,671,405,80,9,69,17,16,27,78,Summer vacation
227,2018-08-17,1140,1182,675,209,38,5,84,15,6,31,77,Summer vacation
228,2018-08-18,575,620,353,109,20,4,8,6,2,26,47,Summer vacation
229,2018-08-19,541,541,288,151,24,5,13,2,4,14,40,Summer vacation
230,2018-08-20,1519,1487,891,315,60,3,96,9,4,38,103,Summer vacation assessment
231,2018-08-21,1318,1350,703,328,49,5,83,12,0,31,107,Summer vacation assessment
232,2018-08-22,1516,1509,817,385,73,5,83,11,5,37,100,Summer vacation assessment
233,2018-08-23,1416,1465,732,399,63,4,75,9,8,40,86,Summer vacation assessment
234,2018-08-24,1158,1184,685,248,69,4,61,8,5,3,75,Summer vacation assessment
235,2018-08-25,570,606,348,103,25,4,3,3,7,18,59,Summer vacation assessment
236,2018-08-26,439,423,205,100,35,3,6,1,6,26,57,Summer vacation assessment
237,2018-08-27,1699,1654,1009,354,87,2,10,13,12,93,119,Summer vacation assessment
238,2018-08-28,1633,1647,881,427,65,4,79,12,4,49,112,Summer vacation assessment
239,2018-08-29,1472,1556,724,477,52,5,58,16,4,9,127,Summer vacation assessment
240,2018-08-30,1089,1122,607,263,60,6,61,4,7,6,75,Summer vacation assessment
